term,language,type,decade,count
man,English,common_term,1610,575
holy,English,common_term,1610,1364
reichs,German,common_term,1610,97
historia,Spanish,common_term,1610,236
andere,Dutch,common_term,1610,66
heeren,Dutch,common_term,1610,315
doctoris,Latin,common_term,1610,397
morte,Italian,common_term,1610,74
vita,Italian,common_term,1610,209
vie,French,common_term,1610,214
gottes,German,common_term,1610,157
sancti,Latin,common_term,1610,308
vida,Spanish,common_term,1610,130
guerre,French,common_term,1610,115
sancti,Latin,common_term,1620,245
holy,English,common_term,1620,911
vida,Spanish,common_term,1620,131
vie,French,common_term,1620,303
reichs,German,common_term,1620,142
vita,Italian,common_term,1620,237
man,English,common_term,1620,694
doctoris,Latin,common_term,1620,329
guerre,French,common_term,1620,84
gottes,German,common_term,1620,133
morte,Italian,common_term,1620,63
heeren,Dutch,common_term,1620,232
historia,Spanish,common_term,1620,216
andere,Dutch,common_term,1620,58
holy,English,common_term,1630,1884
historia,Spanish,common_term,1630,137
heeren,Dutch,common_term,1630,121
gottes,German,common_term,1630,127
man,English,common_term,1630,872
morte,Italian,common_term,1630,49
vie,French,common_term,1630,184
andere,Dutch,common_term,1630,30
vida,Spanish,common_term,1630,111
reichs,German,common_term,1630,95
guerre,French,common_term,1630,91
sancti,Latin,common_term,1630,247
doctoris,Latin,common_term,1630,277
vita,Italian,common_term,1630,126
reichs,German,common_term,1640,73
man,English,common_term,1640,1249
historia,Spanish,common_term,1640,105
vie,French,common_term,1640,416
holy,English,common_term,1640,1572
heeren,Dutch,common_term,1640,231
gottes,German,common_term,1640,165
vida,Spanish,common_term,1640,114
doctoris,Latin,common_term,1640,212
vita,Italian,common_term,1640,154
guerre,French,common_term,1640,172
sancti,Latin,common_term,1640,206
andere,Dutch,common_term,1640,74
morte,Italian,common_term,1640,42
historia,Spanish,common_term,1650,82
man,English,common_term,1650,1421
heeren,Dutch,common_term,1650,343
holy,English,common_term,1650,1955
vie,French,common_term,1650,347
doctoris,Latin,common_term,1650,217
vita,Italian,common_term,1650,158
vida,Spanish,common_term,1650,112
guerre,French,common_term,1650,97
sancti,Latin,common_term,1650,210
andere,Dutch,common_term,1650,86
reichs,German,common_term,1650,81
gottes,German,common_term,1650,158
morte,Italian,common_term,1650,39
man,English,common_term,1660,695
heeren,Dutch,common_term,1660,489
vida,Spanish,common_term,1660,136
holy,English,common_term,1660,1203
vita,Italian,common_term,1660,153
sancti,Latin,common_term,1660,181
