term	language	type	decade	count
justice	Spanish	search_term	1530	4
king, queen	French	search_term	1530	2
Enlightenment	French	search_term	1530	1
philosophy	French	search_term	1530	2
right	Spanish	search_term	1530	1
law	French	search_term	1530	1
guerre	French	common_term	1530	28
sancti	Latin	common_term	1530	106
gottes	German	common_term	1530	187
doctoris	Latin	common_term	1530	206
reichs	German	common_term	1530	98
vita	Italian	common_term	1530	74
man	English	common_term	1530	308
holy	English	common_term	1530	234
historia	Spanish	common_term	1530	39
vie	French	common_term	1530	38
morte	Italian	common_term	1530	25
vida	Spanish	common_term	1530	9
heeren	Dutch	common_term	1530	9
andere	Dutch	common_term	1530	4
science	Italian	search_term	1540	8
right	Latin	search_term	1540	311
nation, people	English	search_term	1540	235
republic	Latin	search_term	1540	62
science	Latin	search_term	1540	25
king, queen	Latin	search_term	1540	193
state	English	search_term	1540	139
nation, people	French	search_term	1540	24
king, queen	Italian	search_term	1540	127
king, queen	Spanish	search_term	1540	83
right	German	search_term	1540	128
law	Italian	search_term	1540	40
right	English	search_term	1540	105
science	French	search_term	1540	16
violence	German	search_term	1540	22
king, queen	English	search_term	1540	81
law	Spanish	search_term	1540	62
justice	German	search_term	1540	15
justice	French	search_term	1540	15
law	Latin	search_term	1540	62
state	German	search_term	1540	1
justice	Spanish	search_term	1540	3
republic	English	search_term	1540	1
law	English	search_term	1540	13
state	French	search_term	1540	2
right	French	search_term	1540	3
king, queen	French	search_term	1540	5
philosophy	Italian	search_term	1540	1
right	Dutch	search_term	1540	2
state	Italian	search_term	1540	4
state	Spanish	search_term	1540	9
nation, people	Spanish	search_term	1540	7
justice	Latin	search_term	1540	2
justice	English	search_term	1540	6
nation, people	Italian	search_term	1540	4
right	Spanish	search_term	1540	4
revolution	English	search_term	1540	3
monarchy	French	search_term	1540	6
Enlightenment	French	search_term	1540	5
king, queen	German	search_term	1540	7
science	English	search_term	1540	1
republic	French	search_term	1540	2
republic	Spanish	search_term	1540	1
law	French	search_term	1540	1
holy	English	common_term	1540	286
vita	Italian	common_term	1540	195
doctoris	Latin	common_term	1540	154
guerre	French	common_term	1540	45
sancti	Latin	common_term	1540	151
man	English	common_term	1540	524
vie	French	common_term	1540	60
gottes	German	common_term	1540	183
historia	Spanish	common_term	1540	29
vida	Spanish	common_term	1540	25
reichs	German	common_term	1540	109
morte	Italian	common_term	1540	71
andere	Dutch	common_term	1540	5
heeren	Dutch	common_term	1540	21
law	Latin	search_term	1550	80
king, queen	Italian	search_term	1550	136
right	Latin	search_term	1550	486
law	Italian	search_term	1550	51
state	English	search_term	1550	137
right	German	search_term	1550	173
right	English	search_term	1550	149
justice	German	search_term	1550	97
republic	Latin	search_term	1550	184
law	Spanish	search_term	1550	50
law	English	search_term	1550	37
king, queen	Latin	search_term	1550	312
republic	French	search_term	1550	18
philosophy	Italian	search_term	1550	61
king, queen	Spanish	search_term	1550	135
right	French	search_term	1550	5
science	Latin	search_term	1550	16
justice	Spanish	search_term	1550	4
nation, people	English	search_term	1550	76
nation, people	Latin	search_term	1550	5
king, queen	French	search_term	1550	14
king, queen	English	search_term	1550	92
nation, people	French	search_term	1550	37
king, queen	German	search_term	1550	8
philosophy	French	search_term	1550	33
state	Italian	search_term	1550	11
state	Spanish	search_term	1550	12
violence	German	search_term	1550	24
right	Dutch	search_term	1550	14
law	Dutch	search_term	1550	11
monarchy	French	search_term	1550	14
science	Italian	search_term	1550	7
justice	English	search_term	1550	19
nation, people	Spanish	search_term	1550	23
science	French	search_term	1550	6
Enlightenment	French	search_term	1550	7
right	Spanish	search_term	1550	8
justice	French	search_term	1550	13
philosophy	English	search_term	1550	9
monarchy	Latin	search_term	1550	3
republic	Spanish	search_term	1550	16
law	French	search_term	1550	4
state	German	search_term	1550	1
justice	Italian	search_term	1550	1
republic	Italian	search_term	1550	1
revolution	English	search_term	1550	2
justice	Latin	search_term	1550	1
nation, people	Italian	search_term	1550	2
science	English	search_term	1550	1
doctoris	Latin	common_term	1550	229
man	English	common_term	1550	258
vida	Spanish	common_term	1550	51
holy	English	common_term	1550	244
gottes	German	common_term	1550	307
guerre	French	common_term	1550	84
vita	Italian	common_term	1550	203
vie	French	common_term	1550	64
reichs	German	common_term	1550	59
sancti	Latin	common_term	1550	114
historia	Spanish	common_term	1550	150
andere	Dutch	common_term	1550	8
morte	Italian	common_term	1550	77
heeren	Dutch	common_term	1550	40
right	Latin	search_term	1560	542
king, queen	Latin	search_term	1560	404
king, queen	Spanish	search_term	1560	87
law	Italian	search_term	1560	83
king, queen	Italian	search_term	1560	109
right	German	search_term	1560	134
republic	French	search_term	1560	31
king, queen	English	search_term	1560	192
nation, people	Spanish	search_term	1560	9
king, queen	French	search_term	1560	20
justice	Latin	search_term	1560	4
state	Italian	search_term	1560	32
law	English	search_term	1560	15
law	Spanish	search_term	1560	26
nation, people	French	search_term	1560	100
right	English	search_term	1560	87
republic	Latin	search_term	1560	81
law	Latin	search_term	1560	56
science	French	search_term	1560	26
state	Spanish	search_term	1560	13
nation, people	English	search_term	1560	116
violence	German	search_term	1560	21
philosophy	Italian	search_term	1560	49
justice	German	search_term	1560	15
nation, people	Latin	search_term	1560	5
right	French	search_term	1560	10
violence	Italian	search_term	1560	1
republic	English	search_term	1560	5
justice	English	search_term	1560	11
philosophy	French	search_term	1560	14
science	English	search_term	1560	9
science	Italian	search_term	1560	19
philosophy	English	search_term	1560	11
science	Latin	search_term	1560	18
right	Spanish	search_term	1560	6
state	English	search_term	1560	34
monarchy	Latin	search_term	1560	8
Enlightenment	French	search_term	1560	8
right	Italian	search_term	1560	1
monarchy	French	search_term	1560	13
justice	French	search_term	1560	12
justice	Italian	search_term	1560	5
state	Latin	search_term	1560	6
right	Dutch	search_term	1560	4
justice	Spanish	search_term	1560	1
nation, people	Italian	search_term	1560	5
state	German	search_term	1560	1
revolution	French	search_term	1560	1
state	French	search_term	1560	4
law	French	search_term	1560	1
doctoris	Latin	common_term	1560	228
historia	Spanish	common_term	1560	65
vita	Italian	common_term	1560	172
holy	English	common_term	1560	347
andere	Dutch	common_term	1560	9
gottes	German	common_term	1560	314
man	English	common_term	1560	171
sancti	Latin	common_term	1560	129
morte	Italian	common_term	1560	93
heeren	Dutch	common_term	1560	70
reichs	German	common_term	1560	69
vie	French	common_term	1560	47
vida	Spanish	common_term	1560	18
guerre	French	common_term	1560	46
law	Italian	search_term	1570	127
king, queen	Italian	search_term	1570	128
king, queen	French	search_term	1570	20
right	English	search_term	1570	382
king, queen	Latin	search_term	1570	400
king, queen	German	search_term	1570	4
nation, people	French	search_term	1570	52
state	English	search_term	1570	208
right	German	search_term	1570	144
law	Spanish	search_term	1570	21
monarchy	Latin	search_term	1570	39
republic	Latin	search_term	1570	115
right	Latin	search_term	1570	579
king, queen	English	search_term	1570	292
state	Italian	search_term	1570	51
republic	French	search_term	1570	31
science	English	search_term	1570	119
justice	French	search_term	1570	13
right	Dutch	search_term	1570	14
law	Dutch	search_term	1570	7
nation, people	English	search_term	1570	123
right	Spanish	search_term	1570	4
nation, people	Latin	search_term	1570	1
philosophy	Italian	search_term	1570	25
justice	English	search_term	1570	17
philosophy	French	search_term	1570	33
Enlightenment	French	search_term	1570	16
king, queen	Spanish	search_term	1570	36
state	French	search_term	1570	8
nation, people	Italian	search_term	1570	11
philosophy	English	search_term	1570	32
law	Latin	search_term	1570	105
law	French	search_term	1570	7
science	French	search_term	1570	11
justice	German	search_term	1570	9
state	Spanish	search_term	1570	5
right	Italian	search_term	1570	13
right	French	search_term	1570	18
law	English	search_term	1570	32
science	Italian	search_term	1570	10
nation, people	Spanish	search_term	1570	15
violence	German	search_term	1570	10
monarchy	French	search_term	1570	5
justice	Italian	search_term	1570	4
republic	Spanish	search_term	1570	3
justice	Latin	search_term	1570	4
science	Latin	search_term	1570	12
republic	English	search_term	1570	1
violence	Italian	search_term	1570	1
justice	Spanish	search_term	1570	1
holy	English	common_term	1570	465
sancti	Latin	common_term	1570	84
man	English	common_term	1570	245
doctoris	Latin	common_term	1570	255
vie	French	common_term	1570	107
guerre	French	common_term	1570	72
vida	Spanish	common_term	1570	30
historia	Spanish	common_term	1570	97
gottes	German	common_term	1570	267
vita	Italian	common_term	1570	201
andere	Dutch	common_term	1570	50
heeren	Dutch	common_term	1570	152
reichs	German	common_term	1570	81
morte	Italian	common_term	1570	70
right	English	search_term	1580	674
king, queen	Latin	search_term	1580	423
king, queen	French	search_term	1580	44
king, queen	English	search_term	1580	569
right	Latin	search_term	1580	808
science	Italian	search_term	1580	52
nation, people	English	search_term	1580	359
republic	English	search_term	1580	22
philosophy	French	search_term	1580	36
state	English	search_term	1580	218
law	Latin	search_term	1580	82
nation, people	Italian	search_term	1580	15
science	English	search_term	1580	23
law	English	search_term	1580	33
justice	Latin	search_term	1580	21
nation, people	French	search_term	1580	72
philosophy	Italian	search_term	1580	30
right	German	search_term	1580	104
king, queen	Italian	search_term	1580	129
right	Dutch	search_term	1580	29
law	Dutch	search_term	1580	20
law	Spanish	search_term	1580	40
state	French	search_term	1580	12
philosophy	English	search_term	1580	5
philosophy	Spanish	search_term	1580	13
republic	Spanish	search_term	1580	3
nation, people	Spanish	search_term	1580	15
king, queen	Spanish	search_term	1580	92
republic	Latin	search_term	1580	99
state	Spanish	search_term	1580	21
monarchy	Dutch	search_term	1580	7
justice	French	search_term	1580	15
state	Italian	search_term	1580	70
Enlightenment	French	search_term	1580	18
justice	English	search_term	1580	19
violence	German	search_term	1580	18
law	Italian	search_term	1580	34
republic	French	search_term	1580	28
monarchy	French	search_term	1580	3
right	Spanish	search_term	1580	14
right	French	search_term	1580	16
nation, people	German	search_term	1580	1
science	Latin	search_term	1580	22
law	French	search_term	1580	4
nation, people	Dutch	search_term	1580	7
state	Latin	search_term	1580	4
nation, people	Latin	search_term	1580	2
revolution	English	search_term	1580	1
science	French	search_term	1580	12
monarchy	English	search_term	1580	1
justice	German	search_term	1580	7
monarchy	Latin	search_term	1580	7
king, queen	German	search_term	1580	3
violence	English	search_term	1580	4
monarchy	Spanish	search_term	1580	1
justice	Italian	search_term	1580	3
doctoris	Latin	common_term	1580	366
guerre	French	common_term	1580	85
heeren	Dutch	common_term	1580	108
gottes	German	common_term	1580	243
morte	Italian	common_term	1580	108
andere	Dutch	common_term	1580	31
man	English	common_term	1580	235
historia	Spanish	common_term	1580	187
sancti	Latin	common_term	1580	152
holy	English	common_term	1580	406
vita	Italian	common_term	1580	255
vie	French	common_term	1580	160
vida	Spanish	common_term	1580	60
reichs	German	common_term	1580	73
right	Dutch	search_term	1590	25
law	Dutch	search_term	1590	19
king, queen	English	search_term	1590	1155
philosophy	French	search_term	1590	28
nation, people	English	search_term	1590	223
right	English	search_term	1590	512
republic	English	search_term	1590	46
republic	French	search_term	1590	25
state	English	search_term	1590	273
law	English	search_term	1590	33
king, queen	Latin	search_term	1590	338
right	German	search_term	1590	124
right	Latin	search_term	1590	589
state	Italian	search_term	1590	120
republic	Latin	search_term	1590	107
king, queen	Italian	search_term	1590	126
king, queen	Spanish	search_term	1590	180
justice	Spanish	search_term	1590	17
state	Spanish	search_term	1590	58
law	Latin	search_term	1590	94
violence	English	search_term	1590	3
violence	German	search_term	1590	15
law	Spanish	search_term	1590	92
right	Italian	search_term	1590	15
law	Italian	search_term	1590	19
justice	German	search_term	1590	3
state	German	search_term	1590	1
science	English	search_term	1590	35
justice	English	search_term	1590	14
king, queen	French	search_term	1590	17
Enlightenment	Italian	search_term	1590	1
nation, people	Spanish	search_term	1590	39
nation, people	French	search_term	1590	30
monarchy	Latin	search_term	1590	10
science	Italian	search_term	1590	12
justice	French	search_term	1590	10
republic	Spanish	search_term	1590	9
law	French	search_term	1590	3
nation, people	Italian	search_term	1590	8
Enlightenment	French	search_term	1590	18
science	Latin	search_term	1590	12
right	Spanish	search_term	1590	11
philosophy	English	search_term	1590	9
right	French	search_term	1590	7
justice	Latin	search_term	1590	7
monarchy	French	search_term	1590	4
philosophy	Italian	search_term	1590	5
monarchy	Spanish	search_term	1590	1
science	Spanish	search_term	1590	3
science	French	search_term	1590	5
monarchy	English	search_term	1590	3
nation, people	German	search_term	1590	1
justice	Italian	search_term	1590	1
monarchy	Dutch	search_term	1590	1
violence	Latin	search_term	1590	1
holy	English	common_term	1590	407
doctoris	Latin	common_term	1590	300
vie	French	common_term	1590	90
sancti	Latin	common_term	1590	103
heeren	Dutch	common_term	1590	113
man	English	common_term	1590	415
guerre	French	common_term	1590	62
vita	Italian	common_term	1590	208
